"Setting","SourcePresent","SourceSHA256","TargetPresent","TargetSHA256","Policy","ApprovalStatus","Verification"
"AudioManager.asset","True","25c2a87ad350347ac80539d989d2915350df66e30b19fc2537aa1268d9ea8dc1","True","aeedeb3243f07b61dbbe854aa08b5ef6f0b5274dd9852ad9f6129dde3e105a31","Manual merge of sample rate, DSP, speaker and disable settings","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"BurstAotSettings_StandaloneWindows.json","False","","True","c99bbd84e7c1be66b09062803185998ec7c74594fa3b684c27a291c6da1c1e6b","Keep target unless a source dependency proves field-level migration is necessary","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"ClusterInputManager.asset","True","06a192320121e445dcff1ae8ddad2a948ff671ca134603c043d9f4e920427ea9","True","40e65dd214bf254955d2c8829ca8ce2130fd3510485560ce012e9a1ddd93e623","Keep target unless a source dependency proves field-level migration is necessary","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"CommonBurstAotSettings.json","False","","True","df1476b360fe4e15a17ad34e7bc49aa27b62fd35d8a79786f516981a86bf01df","Keep target unless a source dependency proves field-level migration is necessary","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"DynamicsManager.asset","True","8ebac39d3a736823133e41dd3a793d075765247f937e80bdfaf9ef5764974364","True","b7c9a9dc08b98990109d4346f68745e15e238de400f96c583e53e1c83c743a78","Field-level 3D physics and collision-matrix migration","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"EditorBuildSettings.asset","True","1b75e24fcb787f2d81aad41080764997374955259b0fb8b4dc87beaaac013ab7","True","31008878d3f87ebeaeb5e90f6b06f1dd7de3861906b960a4643523469dd107c4","Rebuild from approved scene manifest; FormalBattle is the target startup scene while the existing SampleScene entry remains intact","Approved-FormalBattle-Startup","FormalBattle is enabled at build index 0; serialized scene references and Unity EditMode tests verify the manifest"
"EditorSettings.asset","True","70df78822b7748b0773a19a5e1f41f4f624cf4e436314a2984b3cb8a10480e37","True","2f29d5142f8e94397fecb22a5c70514cc4022d2fbe7ffec743167d25701fc1ff","Keep target; enforce text serialization/meta/line-ending requirements","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"GraphicsSettings.asset","True","98ae8eab2721bbff8ac623c7d818716c213cea832023e0eed9dc410138722599","True","8a16c389ea5918a432aa1ab553520c770c01ed9b3b3939435342c2efbb54ed91","Keep target baseline pending HDRP/URP conversion decision; no whole-file copy","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"HDRPProjectSettings.asset","True","149c79b4b72cb350833ca013d1a676ba56b7e3489b3d13c8795f95bedf792fbf","False","","Record source settings; do not copy blindly","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"InputManager.asset","True","17ebf6e47832d8e97feaa71831c075628aa112c4dfa6ad06b29427d731fac4ef","True","7a1bb836a1008d26d0860d143e9d9df7ca41731d30a72901b518063819c62df2","Semantic merge of code-referenced axes/buttons","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
