"Category","Source","Lines","Mechanism","KeyOrPath","Type","Default","WriteBehavior","Conclusion"
"Campaign","Assets/_Game/Scripts/Procedure/States/BattleState.cs","60-71","PlayerPrefs","CompanyWar.LastLevel","string","L00","SetString when entering a level; keeps the highest catalog index; no immediate PlayerPrefs.Save","Real Cow persistence"
"Campaign","Assets/_Game/Scripts/UI/BattleUIController.cs","2528-2582","PlayerPrefs","CompanyWar.LastLevel","string","L00","On victory stores next level and calls PlayerPrefs.Save","Real Cow persistence"
"Campaign","Assets/_Game/Scripts/UI/BattleUIController.cs","2551-2563","PlayerPrefs","CompanyWar.LevelStars.{LevelId}","int","0","On victory stores max(existing, clamped 1..3) and calls PlayerPrefs.Save","Real Cow persistence"
"Campaign","Assets/_Game/Scripts/UI/LevelSelectUIController.cs","635-688","PlayerPrefs","CompanyWar.LastLevel; CompanyWar.LevelStars.{LevelId}","string/int","L00/0","Read-only UI projection","Real Cow persistence consumer"
"Campaign","Assets/_Game/Scripts/UI/MainMenuUIController.cs","108-117","PlayerPrefs","CompanyWar.LastLevel","string","L00","HasKey determines whether Continue is shown","Real Cow persistence consumer"
"Settings","Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","13-35","PlayerPrefs","Audio_{Master|BGM|SFX|UI|Voice}_{Volume|Mute}","float/int","1.0/0","Ten fixed keys","Real Cow persistence"
"Settings","Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","116-122;280-305","PlayerPrefs","Audio_*","float/int","1.0/0","SetFloat/SetInt; no explicit PlayerPrefs.Save in setters","Real Cow persistence with flush-timing risk"
"FrameworkOnly","Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","20-359","JsonUtility + optional encrypted bytes","{persistentDataPath}/Saves/Slot_{n}/{key}.{sav|json}","generic","n/a","Generic API supports JSON/encrypted files but has zero callers in Assets/_Game and Assets/_YFanFramework","Not a real Cow business save format"
"Configuration","Assets/_Game/Scripts/Utils/ConfigUtil.cs","75-180","JSON configuration","StreamingAssets/CompanyWar/Configs and editor config paths","configuration","n/a","Read-only runtime configuration, not player progress","Exclude from save migration"
"RuntimeOnly","Assets/_Game/Scripts/Prototype3D/CompanyWarPrototype3DRuntime.cs","runtime state","memory","authorization/deployment/resources/score","runtime fields","scenario config","No PlayerPrefs, SaveUtil, file, JSON or binary persistence call","Target-new persistence fields"
