"SourceModule","CurrentResponsibility","TargetLayer","QFrameworkAllowed","MigrationRule"
"Assets/_Game/Scripts/Logic/Core/Domain","Battle rules, entities, state transitions","Domain","False","Pure C# characterization first; no UnityEngine or framework references"
"Assets/_Game/Scripts/Logic/Adapters","Logic-to-view bridging and events","Application + Presentation","True","Split orchestration from Unity-facing view adapters"
"CompanyWarManager / GameFlowManager","Bootstrap and scene/game flow","Application","True","Retain GUID-backed compatibility entry components in Presentation"
"CompanyWarPrototype3DRuntime","Battle orchestration, input, camera and view coordination","Application + Presentation","True","Keep legacy serialization shim, then split by responsibility"
"Grid and corridor renderers","Board and corridor visuals","Presentation","True","Preserve serialized fields/GUIDs before view refactor"
"UI controllers and panel prefabs","Menus, HUD and loading UI","Presentation","True","Compatibility components may delegate to UIKit after parity tests"
"AudioManager","Music selection, volume and audio persistence","Presentation + Infrastructure","True","Preserve PlayerPrefs and field aliases; AudioKit is an adapter option"
"VisualMapping / corridor theme ScriptableObjects","Visual configuration","Presentation","True","Preserve original meta/type/fields; never promote to Domain entity"
"Addressables / StreamingAssets / Resources loading","Asset and configuration delivery","Infrastructure","True","Implement IAssetProvider/IConfigSource; backend remains undecided"
"PlayerPrefs / SaveUtil","Progress, stars, audio and dormant encrypted saves","Infrastructure","True","Implement Domain/Application ports without changing keys or payloads"
"Assets/_Game/Editor","Authoring and validation tools","Editor tooling","True","Migrate only after runtime contracts are approved"
